population_count,mutation,num_generations,min fitness,avg fitness
10,0.0,10000,168,168.0
10,0.01,1552,0,3.0
10,0.02,6919,0,0.3
10,0.03,2822,0,0.3
10,0.04,2152,0,0.5
10,0.05,3722,0,0.4
10,0.06,938,0,0.5
10,0.07,1145,0,0.5
10,0.08,1865,0,3.6
10,0.09,174,0,0.4
10,0.1,693,0,3.8
10,0.11,904,0,3.6
10,0.12,415,0,1.2
10,0.13,1277,0,0.6
10,0.14,239,0,1.5
10,0.15,391,0,17.4
10,0.16,1928,0,0.5
10,0.17,178,0,1.5
10,0.18,422,0,1.6
10,0.19,1304,0,1.6
10,0.2,425,0,0.5
10,0.21,184,0,0.6
10,0.22,538,0,0.9
10,0.23,171,0,38.0
10,0.24,603,0,24.8
10,0.25,164,0,1.0
10,0.26,518,0,9.1
10,0.27,481,0,15.0
10,0.28,740,0,37.2
10,0.29,475,0,3.4
10,0.3,91,0,0.7
10,0.31,1076,0,11.4
10,0.32,193,0,53.2
10,0.33,221,0,2.0
10,0.34,120,0,40.5
10,0.35,296,0,0.5
10,0.36,277,0,1.2
10,0.37,470,0,7.8
10,0.38,89,0,22.4
10,0.39,897,0,31.8
10,0.4,221,0,41.5
10,0.41,59,0,1.8
10,0.42,618,0,2.5
10,0.43,176,0,8.6
10,0.44,49,0,23.0
10,0.45,558,0,1.0
10,0.46,482,0,54.3
10,0.47,99,0,1.8
10,0.48,270,0,54.3
10,0.49,107,0,5.5
10,0.5,58,0,3.5
10,0.51,52,0,24.2
10,0.52,559,0,88.4
10,0.53,729,0,11.2
10,0.54,338,0,20.5
10,0.55,80,0,48.0
10,0.56,142,0,26.6
10,0.57,154,0,61.8
10,0.58,163,0,9.0
10,0.59,206,0,67.5
10,0.6,189,0,28.8
10,0.61,559,0,34.0
10,0.62,393,0,33.3
10,0.63,430,0,16.0
10,0.64,189,0,39.0
10,0.65,249,0,50.7
10,0.66,1119,0,31.5
10,0.67,867,0,5.5
10,0.68,22,0,6.3
10,0.69,349,0,13.5
10,0.7,92,0,29.2
10,0.71,345,0,34.3
10,0.72,84,0,11.2
10,0.73,138,0,1.0
10,0.74,271,0,26.0
10,0.75,239,0,17.6
10,0.76,196,0,18.0
10,0.77,70,0,35.2
10,0.78,1060,0,32.3
10,0.79,299,0,0.5
10,0.8,130,0,5.8
10,0.81,129,0,3.0
10,0.82,208,0,44.5
10,0.83,582,0,10.5
10,0.84,371,0,114.6
10,0.85,1424,0,87.9
10,0.86,354,0,42.5
10,0.87,69,0,3.5
10,0.88,1115,0,52.1
10,0.89,972,0,67.8
10,0.9,178,0,42.4
10,0.91,333,0,9.2
10,0.92,2465,0,16.0
10,0.93,36,0,25.4
10,0.94,131,0,90.0
10,0.95,316,0,57.5
10,0.96,1485,0,31.5
10,0.97,880,0,29.5
10,0.98,525,0,29.0
10,0.99,1120,0,109.2
10,1,357,0,48.8
