population_count,retain,num_generations,min fitness,avg fitness
10000,0.02,29,0.0,19345767060.981403
10000,0.03,38,0.0,13286178264.952988
10000,0.04,28,0.0,15380828452.372313
10000,0.05,37,0.0,12310485989.738619
10000,0.06,34,0.0,13366696363.141272
10000,0.07,26,0.0,14631231035.361969
10000,0.08,39,0.0,9832200287.952223
10000,0.09,29,0.0,10298517411.715807
10000,0.1,28,0.0,12258216886.95625
10000,0.11,24,0.0,9748271806.71038
10000,0.12,29,0.0,10387927161.387728
10000,0.13,32,0.0,8779595090.704853
10000,0.14,26,0.0,9213556620.720758
10000,0.15,21,0.0,9627401326.435404
10000,0.16,27,0.0,9282419888.856241
10000,0.17,28,0.0,8580781928.955561
10000,0.18,27,0.0,8433862707.367002
10000,0.19,27,0.0,8986518934.975199
10000,0.2,29,0.0,8363804053.743222
10000,0.21,30,0.0,6706752696.246951
10000,0.22,34,0.0,8702750953.116968
10000,0.23,35,0.0,8796747045.366335
10000,0.24,28,0.0,9038761006.108532
10000,0.25,34,0.0,8485227977.210634
10000,0.26,35,0.0,8814841301.52995
10000,0.27,39,0.0,9072221116.589668
10000,0.28,40,0.0,8063662065.864825
10000,0.29,36,0.0,7597139175.203088
10000,0.3,39,0.0,8291630398.287993
10000,0.31,38,0.0,8194962599.343924
10000,0.32,41,0.0,7813262289.510247
10000,0.33,42,0.0,7966369182.0529
10000,0.34,36,0.0,8673721996.907858
10000,0.35,41,0.0,6535610961.988029
10000,0.36,44,0.0,7870804889.133067
10000,0.37,39,0.0,7698154509.385813
10000,0.38,52,0.0,7242731150.762191
10000,0.39,48,0.0,7624268160.034823
10000,0.4,51,0.0,7841675600.697613
10000,0.41,50,0.0,8600779235.189846
10000,0.42,43,0.0,7765667128.270834
10000,0.43,53,0.0,8001533170.763498
10000,0.44,58,0.0,8243508369.049289
10000,0.45,62,0.0,8276351948.806731
10000,0.46,58,0.0,7131281150.672093
10000,0.47,54,0.0,6791696352.415771
10000,0.48,70,0.0,7591466687.316861
10000,0.49,68,0.0,7374291268.859333
10000,0.5,73,0.0,7110388006.351738
10000,0.51,67,0.0,7387219984.698142
10000,0.52,70,0.0,7288436080.856482
10000,0.53,68,0.0,7489883034.75959
10000,0.54,94,0.0,7657545943.078436
10000,0.55,76,0.0,7772916985.895633
10000,0.56,117,0.0,7253570564.736228
10000,0.57,103,0.0,8044983445.65614
10000,0.58,93,0.0,7018898729.226032
10000,0.59,121,0.0,7498138812.700518
10000,0.6,116,0.0,8403921032.866074
10000,0.61,117,0.0,6437618070.662703
10000,0.62,136,0.0,6613081183.656783
10000,0.63,121,0.0,8270485343.5107765
10000,0.64,130,0.0,7211043885.821382
10000,0.65,175,0.0,6908005288.743625
10000,0.66,300,0.0,7058208576.118898
10000,0.67,237,0.0,7607670030.390403
10000,0.68,391,0.0,8007874765.324491
10000,0.69,923,0.0,6997277292.70373
10000,0.7,802,0.0,7073504818.550882
10000,0.71,2089,0.0,7185121630.27945
10000,0.72,3934,0.0,6986277358.072269
10000,0.73,5570,0.0,7706784212.080015
10000,0.74,5845,0.0,7610667650.564516
10000,0.75,10000,157.15,7295014541.56752
10000,0.76,10000,157.15,7295014541.56752
10000,0.77,10000,157.15,7295014541.56752
10000,0.78,10000,157.15,7295014541.56752
10000,0.79,10000,157.15,7295014541.56752
10000,0.80,10000,157.15,7295014541.56752
10000,0.81,10000,157.15,7295014541.56752
10000,0.82,10000,157.15,7295014541.56752
10000,0.83,10000,157.15,7295014541.56752
10000,0.84,10000,157.15,7295014541.56752
10000,0.85,10000,157.15,7295014541.56752
10000,0.86,10000,157.15,7295014541.56752
10000,0.87,10000,157.15,7295014541.56752
10000,0.88,10000,157.15,7295014541.56752
10000,0.89,10000,157.15,7295014541.56752
10000,0.90,10000,157.15,7295014541.56752
10000,0.91,10000,157.15,7295014541.56752
10000,0.92,10000,157.15,7295014541.56752
10000,0.93,10000,157.15,7295014541.56752
10000,0.94,10000,157.15,7295014541.56752
10000,0.95,10000,157.15,7295014541.56752
10000,0.96,10000,157.15,7295014541.56752
10000,0.97,10000,157.15,7295014541.56752
10000,0.98,10000,157.15,7295014541.56752
10000,0.99,10000,157.15,7295014541.56752
10000,1.00,10000,157.15,7295014541.56752
