population_count,num_generations,min fitness,avg fitness
10,6045,0,0.8
20,1789,0,0.75
30,3270,0,0.9333333333333333
40,2227,0,0.825
50,2233,0,0.94
60,2246,0,0.9333333333333333
70,754,0,0.9714285714285714
80,1047,0,0.95
90,633,0,0.9222222222222223
100,2147,0,0.96
200,236,0,2.955
300,3,0,112.57
400,48,0,3.4575
500,209,0,1.186
600,163,0,1.975
700,3,0,106.11285714285714
800,3,0,114.00375
900,4,0,55.57555555555555
1000,4,0,59.548
2000,4,0,69.179
3000,3,0,115.52866666666667
4000,4,0,63.359
5000,2,0,173.1494
6000,1,0,254.14383333333333
7000,4,0,62.62014285714286
8000,3,0,111.050625
9000,1,0,252.6857777777778
10000,3,0,111.5873
20000,3,0,111.2463
30000,3,0,110.8443
40000,2,0,174.279975
50000,1,0,253.07574
60000,3,0,111.70925
70000,2,0,174.51472857142858
80000,3,0,111.6527625
90000,2,0,174.65862222222222
100000,3,0,112.12137
200000,1,0,252.786805
300000,2,0,174.68727333333334
400000,1,0,253.091475
500000,1,0,253.003356
600000,1,0,252.92574666666667
700000,1,0,252.87914142857142
800000,1,0,253.07738375
900000,2,0,174.7497911111111
1000000,1,0,253.005924
