population_count,random_select,num_generations,min fitness,avg fitness
10,0.0,7303,0,0.7
10,0.01,6976,0,1.0
10,0.02,4019,0,3.5
10,0.03,10000,1,1.0
10,0.04,3062,0,0.4
10,0.05,10000,1,1.0
10,0.06,10000,1,1.0
10,0.07,2540,0,2.4
10,0.08,8236,0,0.3
10,0.09,7922,0,0.7
10,0.1,5597,0,0.7
10,0.11,1863,0,2.4
10,0.12,2655,0,0.7
10,0.13,864,0,4.2
10,0.14,4889,0,2.4
10,0.15,10000,1,1.0
10,0.16,3199,0,1.2
10,0.17,8075,0,0.9
10,0.18,1018,0,2.4
10,0.19,2904,0,0.6
10,0.2,1666,0,10.4
10,0.21,2951,0,1.6
10,0.22,1902,0,4.9
10,0.23,6382,0,0.6
10,0.24,3556,0,1.0
10,0.25,2553,0,0.7
10,0.26,2453,0,1.4
10,0.27,10000,1,1.0
10,0.28,1170,0,9.8
10,0.29,7863,0,0.9
10,0.3,3047,0,0.7
10,0.31,2261,0,0.8
10,0.32,996,0,16.2
10,0.33,6483,0,0.7
10,0.34,2109,0,0.7
10,0.35,3512,0,0.4
10,0.36,1128,0,1.4
10,0.37,6941,0,0.8
10,0.38,1292,0,5.0
10,0.39,1603,0,1.8
10,0.4,1624,0,18.9
10,0.41,618,0,45.1
10,0.42,1587,0,6.8
10,0.43,2441,0,2.4
10,0.44,654,0,5.6
10,0.45,1348,0,3.2
10,0.46,1336,0,5.4
10,0.47,695,0,1.2
10,0.48,1337,0,0.5
10,0.49,1025,0,15.9
10,0.5,2817,0,0.8
10,0.51,2913,0,0.9
10,0.52,771,0,1.8
10,0.53,583,0,1.8
10,0.54,2364,0,6.0
10,0.55,370,0,4.8
10,0.56,2204,0,0.8
10,0.57,2946,0,0.9
10,0.58,4320,0,0.9
10,0.59,5778,0,0.8
10,0.6,778,0,1.8
10,0.61,4518,0,0.9
10,0.62,682,0,0.9
10,0.63,1591,0,0.9
10,0.64,4614,0,0.9
10,0.65,3068,0,0.9
10,0.66,3801,0,0.9
10,0.67,883,0,1.8
10,0.68,1876,0,0.9
10,0.69,910,0,2.8
10,0.7,2411,0,0.9
10,0.71,588,0,1.8
10,0.72,3889,0,2.0
10,0.73,393,0,0.9
10,0.74,449,0,8.0
10,0.75,716,0,3.6
10,0.76,1083,0,1.8
10,0.77,1136,0,6.3
10,0.78,4320,0,47.1
10,0.79,1089,0,0.9
10,0.8,842,0,2.7
10,0.81,4661,0,0.9
10,0.82,1603,0,4.5
10,0.83,1703,0,4.1
10,0.84,3197,0,0.9
10,0.85,1849,0,1.8
10,0.86,1724,0,0.9
10,0.87,1082,0,20.8
10,0.88,2903,0,1.6
10,0.89,3351,0,0.9
20,0.0,2410,0,0.8
20,0.01,283,0,4.4
20,0.02,298,0,2.1
20,0.03,1162,0,1.4
20,0.04,1212,0,1.3
20,0.05,861,0,11.9
20,0.06,4288,0,0.75
20,0.07,3807,0,0.8
20,0.08,2577,0,0.75
20,0.09,1257,0,3.2
20,0.1,4338,0,0.8
20,0.11,4454,0,0.85
20,0.12,619,0,1.8
20,0.13,1293,0,5.1
20,0.14,869,0,0.75
20,0.15,4868,0,0.75
20,0.16,1179,0,5.7
20,0.17,1109,0,0.9
20,0.18,1359,0,0.85
20,0.19,3081,0,0.95
20,0.2,2558,0,1.8
20,0.21,2360,0,2.0
20,0.22,2687,0,0.85
20,0.23,2988,0,0.75
20,0.24,796,0,0.95
20,0.25,1186,0,0.85
20,0.26,4199,0,0.7
20,0.27,5528,0,0.9
20,0.28,1170,0,0.9
20,0.29,852,0,4.2
20,0.3,1033,0,0.85
20,0.31,913,0,0.9
20,0.32,549,0,12.6
20,0.33,1867,0,0.9
20,0.34,524,0,12.35
20,0.35,912,0,0.95
20,0.36,747,0,6.8
20,0.37,957,0,0.95
20,0.38,496,0,0.9
20,0.39,368,0,10.4
20,0.4,932,0,0.9
20,0.41,1750,0,0.9
20,0.42,1751,0,0.9
20,0.43,543,0,15.2
20,0.44,474,0,3.8
20,0.45,821,0,0.95
20,0.46,1490,0,0.95
20,0.47,863,0,2.85
20,0.48,863,0,1.7
20,0.49,126,0,7.2
20,0.5,191,0,5.4
20,0.51,478,0,2.85
20,0.52,1460,0,2.15
20,0.53,1093,0,0.95
20,0.54,1706,0,0.95
20,0.55,1590,0,0.95
20,0.56,1213,0,2.25
20,0.57,134,0,31.9
20,0.58,2746,0,5.95
20,0.59,981,0,0.9
20,0.6,588,0,3.8
20,0.61,264,0,25.35
20,0.62,695,0,0.95
20,0.63,426,0,21.8
20,0.64,789,0,7.85
20,0.65,866,0,6.45
20,0.66,495,0,15.2
20,0.67,2119,0,4.95
20,0.68,1614,0,4.35
20,0.69,1683,0,0.9
20,0.7,753,0,12.8
20,0.71,425,0,2.7
20,0.72,940,0,0.95
20,0.73,2454,0,0.95
20,0.74,655,0,15.05
20,0.75,778,0,7.35
20,0.76,2137,0,17.05
20,0.77,985,0,8.0
20,0.78,1359,0,8.0
20,0.79,594,0,5.7
20,0.8,857,0,4.15
20,0.81,564,0,6.85
20,0.82,569,0,3.3
20,0.83,929,0,0.95
20,0.84,1573,0,1.65
20,0.85,1034,0,4.4
20,0.86,585,0,1.85
20,0.87,1406,0,0.95
20,0.88,990,0,2.95
20,0.89,1450,0,7.8
30,0.0,1832,0,0.9333333333333333
30,0.01,1619,0,0.9
30,0.02,1271,0,0.9
30,0.03,1446,0,0.9
30,0.04,2255,0,5.266666666666667
30,0.05,1554,0,0.8
30,0.06,1446,0,0.8666666666666667
30,0.07,1745,0,0.9
30,0.08,1535,0,0.8
30,0.09,864,0,1.8
30,0.1,1674,0,0.8666666666666667
30,0.11,1328,0,0.8333333333333334
30,0.12,2218,0,0.9
30,0.13,182,0,25.133333333333333
30,0.14,776,0,1.0
30,0.15,666,0,0.9
30,0.16,2780,0,0.9666666666666667
30,0.17,2591,0,7.2
30,0.18,231,0,0.9
30,0.19,675,0,0.9
30,0.2,622,0,0.9333333333333333
30,0.21,2077,0,0.8666666666666667
30,0.22,569,0,0.8666666666666667
30,0.23,1122,0,3.7333333333333334
30,0.24,329,0,4.666666666666667
30,0.25,594,0,2.7
30,0.26,1277,0,1.5666666666666667
30,0.27,726,0,4.633333333333334
30,0.28,1548,0,0.9333333333333333
30,0.29,420,0,7.766666666666667
30,0.3,1045,0,0.9333333333333333
30,0.31,336,0,5.733333333333333
30,0.32,994,0,0.9666666666666667
30,0.33,1668,0,0.9
30,0.34,459,0,8.2
30,0.35,477,0,0.9333333333333333
30,0.36,1120,0,0.9666666666666667
30,0.37,464,0,2.9
30,0.38,903,0,0.9666666666666667
30,0.39,1775,0,0.8666666666666667
30,0.4,1493,0,0.9
30,0.41,884,0,2.3666666666666667
30,0.42,1005,0,0.9666666666666667
30,0.43,247,0,4.666666666666667
30,0.44,773,0,1.6333333333333333
30,0.45,742,0,3.6666666666666665
30,0.46,198,0,2.1
30,0.47,976,0,0.9666666666666667
30,0.48,402,0,0.9666666666666667
30,0.49,188,0,0.9333333333333333
30,0.5,362,0,1.8666666666666667
30,0.51,451,0,1.8666666666666667
30,0.52,1037,0,3.7
30,0.53,360,0,9.2
30,0.54,1280,0,5.966666666666667
30,0.55,1224,0,11.233333333333333
30,0.56,2478,0,0.9666666666666667
30,0.57,227,0,6.766666666666667
30,0.58,372,0,10.2
30,0.59,653,0,0.9333333333333333
30,0.6,749,0,0.9666666666666667
30,0.61,605,0,2.8666666666666667
30,0.62,807,0,0.9333333333333333
30,0.63,2323,0,8.7
30,0.64,2960,0,0.9666666666666667
