population_count,retain,num_generations,min fitness,avg fitness
10,0.02,10000,1,1.0
10,0.03,10000,1,1.0
10,0.04,9584,0,2.0
10,0.05,10000,1,1.0
10,0.06,2138,0,1.0
10,0.07,10000,1,1.0
10,0.08,7843,0,0.2
10,0.09,1780,0,1.2
10,0.1,3172,0,1.0
10,0.11,6972,0,2.0
10,0.12,2181,0,5.6
10,0.13,296,0,4.0
10,0.14,5717,0,0.5
10,0.15,3214,0,1.8
10,0.16,1474,0,3.3
10,0.17,8012,0,0.6
10,0.18,5295,0,0.9
10,0.19,3909,0,0.3
10,0.2,1000,0,32.8
10,0.21,2402,0,2.0
10,0.22,4281,0,0.4
10,0.23,3144,0,3.2
10,0.24,1675,0,4.5
10,0.25,10000,1,1.0
10,0.26,3397,0,0.4
10,0.27,2004,0,1.5
10,0.28,7998,0,0.5
10,0.29,9790,0,24.4
10,0.3,2309,0,0.8
10,0.31,10000,1,1.0
10,0.32,4770,0,0.6
10,0.33,1980,0,4.2
10,0.34,4539,0,0.8
10,0.35,7599,0,0.5
10,0.36,4451,0,0.8
10,0.37,2547,0,0.5
10,0.38,4894,0,0.6
10,0.39,1086,0,1.8
10,0.4,1403,0,0.7
10,0.41,2601,0,0.9
10,0.42,2402,0,0.8
10,0.43,1279,0,4.9
10,0.44,2969,0,0.7
10,0.45,5613,0,0.8
10,0.46,2653,0,0.7
10,0.47,10000,1,1.0
10,0.48,4965,0,0.8
10,0.49,5402,0,0.8
10,0.5,1713,0,3.2
10,0.51,1835,0,1.8
10,0.52,4363,0,1.8
10,0.53,1689,0,4.5
10,0.54,2147,0,3.2
10,0.55,2083,0,1.0
10,0.56,204,0,5.6
10,0.57,1848,0,2.1
10,0.58,1444,0,0.9
10,0.59,5290,0,0.8
10,0.6,4136,0,0.8
10,0.61,1991,0,0.8
10,0.62,1371,0,1.8
10,0.63,1785,0,1.8
10,0.64,4097,0,0.8
10,0.65,5712,0,0.9
10,0.66,1185,0,14.9
10,0.67,3540,0,0.8
10,0.68,1653,0,0.8
10,0.69,935,0,9.8
10,0.7,1764,0,0.8
10,0.71,933,0,0.8
10,0.72,1522,0,4.5
10,0.73,2701,0,1.8
10,0.74,1220,0,0.9
10,0.75,2159,0,0.9
10,0.76,1508,0,0.7
10,0.77,4110,0,0.9
