schema,order,defining_length,num_generations,num_matches,num_expected_matches
.......1,1,0,0,5057,0
.......1,1,0,1,5058,4981.99436775732
.......1,1,0,2,5598,4907.83585923113
.......1,1,0,3,3909,5788.3177579385865
.......1,1,0,4,8790,4557.476499480136
.......1,1,0,5,9746,6502.046995627354
.......1,1,0,6,9934,6552.314654345653
.......1,1,0,7,9981,7997.279704509061
.......1,1,0,8,9988,6106.1366861559
.......1,1,0,9,9995,8403.247742145908
.......1,1,0,10,9991,4512.542290330736
.......1,1,0,11,9999,5457.916077956013
.......1,1,0,12,9993,9246.21642738027
.......1,1,0,13,9976,8179.25806601949
.......1,1,0,14,9996,1363.6464533534206
.......1,1,0,15,9998,7118.771999347464
.......1,1,0,16,9993,5954.005769529078
.......1,1,0,17,9994,8262.498229978877
.......1,1,0,18,9985,7661.276962397992
.......1,1,0,19,9992,5612.661042376461
.......1,1,0,20,9988,6514.953234774199
.......1,1,0,21,9973,5806.1118572309915
.......1,1,0,22,10000,5234.736258596521
......0.,1,0,0,5031,0
......0.,1,0,1,5099,4963.141991409957
......0.,1,0,2,5615,4992.148831765537
......0.,1,0,3,6915,6030.274798258148
......0.,1,0,4,9337,5452.661188084496
......0.,1,0,5,9836,5819.0296869805425
......0.,1,0,6,9958,6376.094888228584
......0.,1,0,7,9992,6903.090316857546
......0.,1,0,8,10000,7963.904823224141
......01,2,1,0,2551,0
......01,2,1,1,2668,2439.243370832061
......01,2,1,2,2721,2393.5079202156194
......01,2,1,3,2875,2385.341467082998
......01,2,1,4,8531,2052.8463222881214
......01,2,1,5,9668,4234.848664987609
......01,2,1,6,9930,4686.546239275541
......01,2,1,7,9982,8005.298314364331
......01,2,1,8,9989,6171.20019969549
......01,2,1,9,9997,4872.564785497593
......01,2,1,10,9980,6796.758407409864
......01,2,1,11,9957,5563.0235922032625
......01,2,1,12,9970,1897.0778192143714
......01,2,1,13,9997,1044.6037994658423
......01,2,1,14,9977,6090.91356466279
......01,2,1,15,9967,1305.9527941203007
......01,2,1,16,9992,1178.976785430132
......01,2,1,17,9983,3404.8792692078177
......01,2,1,18,9995,1566.1750362758364
......01,2,1,19,9982,4485.0486865213425
......01,2,1,20,9984,3853.27411181351
......01,2,1,21,9994,4206.0980637230805
......01,2,1,22,9994,5031.653122207835
......01,2,1,23,9990,7281.1472817983995
