schema,order,defining_length,num_generations,num_matches,num_expected_matches,schema_fitness,population_fitness
0......1,2,7,0,2485,0,52495629289.645,88748374738.89665
0......1,2,7,1,4384,1152.5227502958594,20388144255.07243,32197029673.531944
0......1,2,7,2,5120,2176.671102313752,7296936163.8841095,9499468381.73348
0......1,2,7,3,4062,3083.696177999292,2670877132.8312874,3530720104.414257
0......1,2,7,4,8787,2409.3001883183533,672490509.3488585,1227827132.8097692
0......1,2,7,5,9701,3773.548497950206,237682425.24778166,343218586.541525
0......1,2,7,6,9910,5267.483120129855,131499027.23072149,311065317.177179
0......1,2,7,7,9967,3284.770104968832,88180589.30143072,405027356.176409
0......1,2,7,8,9985,1701.4276025625993,65498342.6403936,214272934.95692202
0......1,2,7,9,9997,2393.1583611827987,69222226.88525657,71694435.79260601
0......1,2,7,10,9988,7568.1578810459105,98842800.67043853,296133654.600363
0......1,2,7,11,9991,2613.9434390988313,66273442.15181963,157083285.18706498
0......1,2,7,12,9985,3305.05649586476,61773211.63021532,155518816.08980802
0......1,2,7,13,9976,3109.7514938275144,43768035.61397855,351752761.79786396
0......1,2,7,14,9997,973.2767654744849,29480937.870218065,90994517.356419
0......1,2,7,15,9994,2539.546316910143,154434496.66107464,169359684.123467
0......1,2,7,16,9990,7145.522700296641,80897336.66872774,132496023.328077
0......1,2,7,17,9973,4782.524951301911,24946071.883872457,243610774.78570297
0......1,2,7,18,9995,800.7406415644399,88498461.68573788,115136295.64531098
0......1,2,7,19,9976,6023.745901578224,54739586.42424719,318323536.57949406
0......1,2,7,20,9986,1345.0845283950487,27147588.176175646,177671576.648334
0......1,2,7,21,9985,1196.3692282607471,68669256.6838728,224788826.60465497
0......1,2,7,22,9973,2391.6414488462233,14815223.643537555,378229746.663789
0......1,2,7,23,9982,306.29416620755444,22371604.94885093,371598280.76304007
0......1,2,7,24,9980,471.19577469319773,46801148.92326654,259088804.91717008
0......1,2,7,25,9985,1413.5096717037777,14501295.957856786,252034037.369856
