schema,order,defining_length,num_generations,num_matches,num_expected_matches,schema_fitness,population_fitness
0......1,2,7,0,2504,0,52538440523.41518,88573748119.004
0......1,2,7,1,4368,1164.573371527554,20756212712.289276,30015328855.173088
0......1,2,7,2,5119,2368.3616095548996,6316553494.674511,8969932166.689182
0......1,2,7,3,4707,2826.4188800781235,2029187378.621963,3266674160.308628
0......1,2,7,4,8759,2292.561050279907,620788241.9736727,1057259180.205201
0......1,2,7,5,9729,4032.5236236626474,247843335.38549286,569347829.415244
0......1,2,7,6,9948,3320.688631375851,146004896.0254614,250091192.13085097
0......1,2,7,7,9987,4553.707965768931,43930401.55048163,148254406.60516298
0......1,2,7,8,9991,2320.347273406552,61747469.90343509,164575459.455947
0......1,2,7,9,9988,2939.161336763673,31413864.777870443,202785029.120681
0......1,2,7,10,9982,1213.1776207541373,63915743.25700661,259183258.13592902
0......1,2,7,11,9992,1930.095687197775,24062441.63244896,163416352.27475402
0......1,2,7,12,9997,1153.6046099038297,31871659.050547164,57364419.765971996
0......1,2,7,13,9986,4355.039857658221,38926540.4839936,108037088.55448903
0......1,2,7,14,9968,2821.141530180148,87082765.63470505,392687163.8058689
0......1,2,7,15,9983,1733.220884624953,31041606.35606932,184193935.169756
0......1,2,7,16,9978,1319.1382340935295,76715700.52024753,119575378.14627598
0......1,2,7,17,9993,5019.33714550116,39458318.83723907,123284838.04710904
0......1,2,7,18,9976,2507.7553889509827,76918978.97085506,284119027.09955704
0......1,2,7,19,9986,2117.629647208035,71783232.27484378,200053729.902849
0......1,2,7,20,9990,2809.4952028081234,73049915.39159758,150665749.162132
0......1,2,7,21,9990,3797.7908715675812,26696438.65707207,111351973.56436998
0......1,2,7,22,9979,1877.9381100530336,71245144.71156529,172266484.82059696
0......1,2,7,23,9987,3235.9505766928846,75404190.30141585,142312512.55301
0......1,2,7,24,9975,4149.041899372627,102980438.90526718,359288460.76893103
0......1,2,7,25,9975,2241.7374637672924,3760870.3851157892,384510622.758295
0......1,2,7,26,9985,76.4985677725136,65154278.36306161,354625173.98423994
0......1,2,7,27,9982,1438.4071146429078,69134998.27350833,269895499.180193
0......1,2,7,28,9996,2004.8424796133124,33416049.218758505,79413382.10481702
0......1,2,7,29,10000,3297.980118077221,7118798.386967,7118798.386967
0.....01,3,7,0,1290,0,52490375351.63213,89806183253.86063
0.....01,3,7,1,2373,585.2733106757413,22471680487.986435,33488198536.770138
0.....01,3,7,2,2883,1236.0529473397946,7560158277.278245,11105090122.370472
0.....01,3,7,3,3338,1523.5229953764485,2028134396.280539,3322233954.3316665
0.....01,3,7,4,8644,1581.7885267587494,898095239.5062182,1469294071.905903
0.....01,3,7,5,9732,4101.323221403557,332775835.63748145,573364303.445026
0.....01,3,7,6,9951,4384.487160188668,84619333.69532911,250283375.54793805
0.....01,3,7,7,9977,2611.5593180740148,31361656.936770577,114976054.63389198
0.....01,3,7,8,9977,2112.453417312146,25640017.275625937,141471794.70460302
0.....01,3,7,9,9968,1403.6020487712478,74428967.54180276,344903382.5498859
0.....01,3,7,10,9976,1669.7372699740513,23360170.83626002,284849496.915385
0.....01,3,7,11,9968,635.0567975341385,22857303.098201245,285836890.517649
0.....01,3,7,12,9973,618.7430141759712,20308149.638366587,148608226.59657604
0.....01,3,7,13,9973,1057.9104157205875,24488005.469036404,325335328.84837705
0.....01,3,7,14,9974,582.6980659491581,56402772.23774515,271661495.628338
0.....01,3,7,15,9976,1607.4493511613923,60800203.94005212,210184655.91168204
0.....01,3,7,16,9992,2240.0413701962843,43798153.01643714,121115780.78448299
0.....01,3,7,17,9997,2804.8074961262037,19735418.49182455,54736147.141373
0.....01,3,7,18,9997,2797.9334388599445,21686726.937545262,72194946.20732704
0.....01,3,7,19,9993,2331.0547658029873,39950385.830658466,68591952.77702302
0.....01,3,7,20,9992,4517.9276202771525,28838436.105463374,134342540.15540695
0.....01,3,7,21,9994,1664.9689760387012,20705493.827457476,68377054.82797097
0.....01,3,7,22,9986,2349.1465894610606,38161324.15700581,177811281.34120196
0.....01,3,7,23,9983,1663.6089830421836,21071386.63675849,150731147.067547
0.....01,3,7,24,9981,1083.2950376720014,56596973.79161006,197525589.05055797
0.....01,3,7,25,9982,2219.9309754669735,21492881.92093168,188510547.34432197
0.....01,3,7,26,9968,883.4299826278493,21121390.459035914,273441715.472668
0.....01,3,7,27,9973,597.6698325131094,30984788.370364986,267803022.08094102
0.....01,3,7,28,9968,895.6832454908728,25489832.145444416,216464515.704199
0.....01,3,7,29,9976,911.1373744759585,66132019.21397956,250686134.794079
0.....01,3,7,30,9992,2042.8358949112483,21269553.530031018,77593152.713241
0.....01,3,7,31,9983,2126.0964957182473,43315818.978794955,168612799.49708498
0.....01,3,7,32,9992,1990.731245149836,24766208.787339866,76092562.62376799
0.....01,3,7,33,9988,2524.4415264890404,52340218.32532637,79461070.60851298
0.....01,3,7,34,9985,5106.874933206399,81816258.99502856,325927193.08771116
0.....01,3,7,35,9985,1945.6407839859007,50578663.23052479,287741505.31281614
0.....01,3,7,36,9965,1362.4120485812025,82328435.54055592,481669915.8564689
0.....01,3,7,37,9947,1322.1271225071682,44335078.612971745,732306957.2711571
0.....01,3,7,38,9978,467.45737012349815,21131864.144983962,283492791.356571
0.....01,3,7,39,9969,577.3442704200584,22580924.250563744,374621876.9007591
